vocab:amount:sentence:filename
humpty:4:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
dumpty:3:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
sat:2:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
on:17:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
a:37:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
wall:1:Humpty Dumpty Humpty Dumpty sat on a wall.:Verina Songs.pdf
had:9:Humpty Dumpty had a great fall.:Verina Songs.pdf
great:1:Humpty Dumpty had a great fall.:Verina Songs.pdf
fall:2:Humpty Dumpty had a great fall.:Verina Songs.pdf
all:9:All the king’s horses and all the king’s men.:Verina Songs.pdf
the:61:All the king’s horses and all the king’s men.:Verina Songs.pdf
horses:1:All the king’s horses and all the king’s men.:Verina Songs.pdf
and:52:All the king’s horses and all the king’s men.:Verina Songs.pdf
men:1:All the king’s horses and all the king’s men.:Verina Songs.pdf
put:6:Couldn’t put Humpty together again.:Verina Songs.pdf
together:1:Couldn’t put Humpty together again.:Verina Songs.pdf
again:4:Couldn’t put Humpty together again.:Verina Songs.pdf
five:2:Five Little Speckled Frogs Five little speckled frogs sat on a speckled log.:Verina Songs.pdf
little:16:Five Little Speckled Frogs Five little speckled frogs sat on a speckled log.:Verina Songs.pdf
speckled:4:Five Little Speckled Frogs Five little speckled frogs sat on a speckled log.:Verina Songs.pdf
frogs:3:Five Little Speckled Frogs Five little speckled frogs sat on a speckled log.:Verina Songs.pdf
log:1:Five Little Speckled Frogs Five little speckled frogs sat on a speckled log.:Verina Songs.pdf
eating:2:eating some most delicious bugs.:Verina Songs.pdf
some:1:eating some most delicious bugs.:Verina Songs.pdf
most:1:eating some most delicious bugs.:Verina Songs.pdf
delicious:1:eating some most delicious bugs.:Verina Songs.pdf
bugs:1:eating some most delicious bugs.:Verina Songs.pdf
yum:2:yum, yum.:Verina Songs.pdf
one:5:One jumped into the pool.:Verina Songs.pdf
jumped:2:One jumped into the pool.:Verina Songs.pdf
into:1:One jumped into the pool.:Verina Songs.pdf
pool:1:One jumped into the pool.:Verina Songs.pdf
where:2:where it was nice and cool.:Verina Songs.pdf
it:11:where it was nice and cool.:Verina Songs.pdf
was:7:where it was nice and cool.:Verina Songs.pdf
nice:1:where it was nice and cool.:Verina Songs.pdf
cool:1:where it was nice and cool.:Verina Songs.pdf
then:1:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
there:3:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
were:1:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
four:3:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
green:1:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
glug:2:Then there were four green speckled frogs, glug, glug.:Verina Songs.pdf
hey:2:Hey Diddle Diddle Hey diddle diddle, the cat and the ﬁddle.:Verina Songs.pdf
diddle:4:Hey Diddle Diddle Hey diddle diddle, the cat and the ﬁddle.:Verina Songs.pdf
cat:1:Hey Diddle Diddle Hey diddle diddle, the cat and the ﬁddle.:Verina Songs.pdf
ﬁddle:1:Hey Diddle Diddle Hey diddle diddle, the cat and the ﬁddle.:Verina Songs.pdf
cow:2:The cow jumped over the moon.:Verina Songs.pdf
over:2:The cow jumped over the moon.:Verina Songs.pdf
moon:1:The cow jumped over the moon.:Verina Songs.pdf
dog:1:The little dog laughed to see such fun.:Verina Songs.pdf
laughed:1:The little dog laughed to see such fun.:Verina Songs.pdf
to:13:The little dog laughed to see such fun.:Verina Songs.pdf
see:4:The little dog laughed to see such fun.:Verina Songs.pdf
such:2:The little dog laughed to see such fun.:Verina Songs.pdf
fun:1:The little dog laughed to see such fun.:Verina Songs.pdf
dish:2:And the dish ran away with the spoon.:Verina Songs.pdf
ran:4:And the dish ran away with the spoon.:Verina Songs.pdf
away:2:And the dish ran away with the spoon.:Verina Songs.pdf
with:8:And the dish ran away with the spoon.:Verina Songs.pdf
spoon:1:And the dish ran away with the spoon.:Verina Songs.pdf
row:13:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
your:10:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
boat:4:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
gentle:3:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
down:6:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
stream:1:Row Row Row Your Boat Row, row, row your boat, gentle down the stream.:Verina Songs.pdf
merrily:12:Merrily, merrily, merrily, merrily, life is but a dream.:Verina Songs.pdf
life:2:Merrily, merrily, merrily, merrily, life is but a dream.:Verina Songs.pdf
is:3:Merrily, merrily, merrily, merrily, life is but a dream.:Verina Songs.pdf
but:1:Merrily, merrily, merrily, merrily, life is but a dream.:Verina Songs.pdf
dream:1:Merrily, merrily, merrily, merrily, life is but a dream.:Verina Songs.pdf
tide:1:Row, row, row your boat, gentle on the tide.:Verina Songs.pdf
other:1:Merrily, merrily, merrily, merrily, to the other side.:Verina Songs.pdf
side:1:Merrily, merrily, merrily, merrily, to the other side.:Verina Songs.pdf
back:2:Row, row, row your boat, gentle back to shore.:Verina Songs.pdf
shore:1:Row, row, row your boat, gentle back to shore.:Verina Songs.pdf
home:3:Merrily, merrily, merrily, merrily, home for tea at four.:Verina Songs.pdf
for:6:Merrily, merrily, merrily, merrily, home for tea at four.:Verina Songs.pdf
tea:2:Merrily, merrily, merrily, merrily, home for tea at four.:Verina Songs.pdf
at:2:Merrily, merrily, merrily, merrily, home for tea at four.:Verina Songs.pdf
baa:4:Baa, Baa, Black Sheep Baa, baa, black sheep, have you any wool? Yes sir, yes sir, three bags full.:Verina Songs.pdf
black:2:Baa, Baa, Black Sheep Baa, baa, black sheep, have you any wool? Yes sir, yes sir, three bags full.:Verina Songs.pdf
sheep:3:Baa, Baa, Black Sheep Baa, baa, black sheep, have you any wool? Yes sir, yes sir, three bags full.:Verina Songs.pdf
have:2:Baa, Baa, Black Sheep Baa, baa, black sheep, have you any wool? Yes sir, yes sir, three bags full.:Verina Songs.pdf
you:10:Baa, Baa, Black Sheep Baa, baa, black sheep, have you any wool? Yes sir, yes sir, three bags full.:Verina Songs.pdf
